startYear	startMonth	startDay	startHour	startMinute	endYear	endMonth	endDay	endHour	endMinute	durationHour	durationMinute
1999	9	16	6	10	1999	9	17	9	50	27	40
2000	4	3	20	15	2000	4	4	2	15	6	0
2000	4	14	6	40	2000	4	15	5	50	23	10
2000	4	23	2	25	2000	4	23	10	40	8	15
2000	5	2	20	15	2000	5	3	6	30	10	15
2000	6	18	7	0	2000	6	19	6	30	23	30
2000	8	24	16	30	2000	8	24	23	30	7	0
2001	6	6	6	0	2001	6	6	14	0	8	0
2001	6	8	7	45	2001	6	8	17	0	9	15
2001	6	12	14	15	2001	6	12	17	45	3	30
2001	6	27	15	45	2001	6	28	7	25	15	40
2001	7	6	18	0	2001	7	7	9	50	15	50
2001	8	30	15	30	2001	8	30	23	15	7	45
2001	9	1	22	45	2001	9	2	10	0	11	15
2001	9	8	3	30	2001	9	8	8	45	5	15
2002	8	10	11	0	2002	8	10	15	0	4	0
2002	9	15	3	45	2002	9	15	20	30	16	45
2002	9	17	1	30	2002	9	17	12	45	11	15
2003	5	5	7	30	2003	5	6	7	0	23	30
2004	7	17	5	30	2004	7	17	11	0	5	30
2004	8	29	15	30	2004	8	30	6	15	14	45
2005	6	24	10	15	2005	6	25	7	45	21	30
2005	8	19	21	0	2005	8	22	6	15	57	15
2006	5	3	2	30	2006	5	3	13	0	10	30
2006	6	2	14	0	2006	6	2	22	15	8	15
2006	6	9	14	30	2006	6	9	17	20	2	50
2006	9	13	11	45	2006	9	14	4	15	16	30
2007	5	20	9	0	2007	5	20	14	30	5	30
2008	4	19	19	10	2008	4	20	2	20	7	10
2008	6	7	1	10	2008	6	8	12	0	34	50
2008	6	13	23	0	2008	6	14	18	45	19	45
2008	6	25	8	10	2008	6	25	21	45	13	35
2008	7	10	9	5	2008	7	10	17	25	8	20
2009	7	19	3	0	2009	7	19	12	35	9	35
2009	9	15	18	0	2009	9	16	0	30	6	30
2010	7	22	18	10	2010	7	23	4	35	10	25
2010	7	28	16	30	2010	7	28	21	30	5	0
2010	9	21	4	15	2010	9	21	9	0	4	45
2012	7	24	1	10	2012	7	24	15	0	13	50
2013	5	22	5	10	2013	5	22	22	0	16	50
2014	3	30	23	50	2014	3	31	5	0	05	10
2014	3	31	9	15	2014	3	31	15	30	06	15
2014	5	9	13	15	2014	5	9	23	40	10	25
2014	5	11	21	5	2014	5	12	6	50	09	45
2014	8	13	11	40	2014	8	13	22	40	11	00
2015	5	20	21	45	2015	5	21	6	30	08	45
2015	7	22	10	45	2015	7	22	17	0	06	15
2016	8	2	8	15	2016	8	2	12	40	04	25
2016	10	19	9	20	2016	10	19	22	0	12	40
2017	5	24	11	15	2017	5	24	17	15	06	00
2017	6	13	8	55	2017	6	13	21	0	12	05
2017	7	17	21	0	2017	7	19	7	40	34	40
2017	8	27	16	10	2017	8	27	23	15	07	05
2018	6	7	7	40	2018	6	8	15	50	32	10
2018	8	29	18	0	2018	8	30	18	0	24	00
2018	9	16	14	20	2018	9	17	11	20	21	00
2019	7	31	20	40	2019	8	2	9	15	36	35
2019	8	26	2	50	2019	8	26	21	55	19	05
2020	6	6	4	45	2020	6	7	17	0	36	15
2020	8	19	5	45	2020	8	19	15	45	10	00
2021	6	28	11	10	2021	6	28	17	30	06	20
2021	10	8	9	50	2021	10	10	10	0	48	10
2022	5	12	21	15	2022	5	13	15	15	18	00
2023	9	2	5	50	2023	9	2	17	15	11	25
2023	9	7	23	45	2023	9	11	20	15	92	30
